proteinA_entrezid,proteinB_entrezid,databases
9796,56992,bioplex|HIPPIE
7918,9240,instruct|hiunion|APID|biogrid|HINT-binary|intact
8233,23548,bioplex|HIPPIE
4899,11253,encode
5297,8601,bioplex
6564,8933,bioplex
8668,22976,APID|biogrid
10826,345274,intact|hiunion
4489,7157,inweb
6272,54873,qubic
4041,50943,signalink
6202,9733,bioplex
924,94097,signalink
65005,80775,CoFrac
5704,80755,APID|instruct
1958,54965,encode
6633,9128,bioplex
85289,386675,hiunion
6872,85028,encode
10451,54764,intact|hiunion
3846,386682,APID|biogrid|instruct
3163,91289,bioplex|HIPPIE
2353,23411,innatedb|inweb
5611,7316,inweb
3965,10130,inweb
4609,10084,signalink
9064,50943,signalink
54474,115265,intact
114791,653784,qubic|bioplex|HIPPIE
2147,6696,APID|intact|HIPPIE
6633,23385,CoFrac
1759,23523,inweb
10726,55764,APID|intact
963,57228,intact|hiunion
2932,4853,inweb
2520,2520,pina
55739,386676,biogrid|hiunion
57709,93380,intact|hiunion
5817,84102,intact|hiunion
1186,54682,bioplex
891,9133,HINT-binary|inweb|HIPPIE
2932,11033,instruct|APID|biogrid|mint|intact|pina
22809,100130958,hiunion
1017,3276,innatedb
4728,25915,HIPPIE|HINT-binary|inweb|CoFrac|HINT-complex
5307,337974,intact|hiunion
5295,6850,instruct|innatedb|APID|biogrid|HINT-binary|intact|mint|litbm17|inweb|HINT-complex
6732,7325,innatedb
6595,6595,interactome3d|insider|instruct
3238,9935,inweb
28969,55248,bioplex
10454,11151,instruct|APID|biogrid|intact|pina
344387,653269,bioplex|HIPPIE
84988,91419,intact|hiunion
2114,203286,qubic
6272,23386,HINT-binary
6667,23636,APID|litbm17|biogrid|inweb
28511,406881,innatedb
3433,6773,HINT-binary|innatedb
6790,55352,bioplex
6434,7307,intact|hiunion
10524,653121,instruct|hiunion|APID|biogrid|HIPPIE|HINT-binary|intact|pina
30012,115265,intact
22803,55677,intact
6125,23029,bioplex
8773,375260,biogrid
801,3845,HIPPIE|biogrid
3628,55759,CoFrac
5536,653404,instruct
9129,11198,CoFrac
10291,29093,intact
7536,8241,instruct|APID|biogrid|mint|intact
4233,84517,signalink
1869,3428,inweb
5810,81631,HINT-binary|APID|intact|instruct
3866,84707,instruct|hiunion|APID|biogrid|HINT-binary|intact
10664,255919,encode
5875,10963,instruct
8533,144699,bioplex
151,57007,intact
4637,55607,bioplex
4682,5885,encode
339834,552900,hiunion
7428,83729,bioplex
27069,79811,bioplex
675,5889,inweb
166,1894,qubic
1122,5870,inweb
1175,55589,bioplex
4809,6432,CoFrac
1650,3608,CoFrac
6502,6667,inweb
3181,6613,HIPPIE
26121,159163,HIPPIE|biogrid
135932,144404,intact|hiunion
682,9238,bioplex|HIPPIE
754,5079,encode
1203,203562,hiunion
1847,1994,innatedb
9921,79003,qubic
4726,23530,CoFrac
6667,6874,APID|biogrid|HIPPIE|litbm17|inweb
65220,79843,hiunion
10159,10970,qubic
5476,8000,hiunion
2770,58157,inweb|HIPPIE
10484,10782,encode
10455,84461,HIPPIE|HINT-complex
7182,8021,encode
80854,121504,HIPPIE
10946,22938,inweb
7580,386675,instruct|hiunion|APID|biogrid|HINT-binary|intact
3169,26173,encode
7341,84464,inweb
1111,11177,PhosphoSP
7014,84717,instruct|APID|biogrid|HINT-binary|intact|pina
6839,202051,instruct|APID|biogrid|mint|intact
7276,64794,bioplex
339229,390916,bioplex|HIPPIE
1973,1973,HINT-binary|insider|instruct
11325,51070,CoFrac
9135,220929,intact|hiunion
84277,147872,intact|hiunion
841,51283,inweb
23137,56160,HIPPIE
358,157556,intact
2113,5791,signalink
5739,5739,APID|litbm17|biogrid|HIPPIE
7013,7015,inweb
23404,339324,qubic
8646,353332,intact|hiunion
6789,10980,KinomeNetX
51614,340481,intact|hiunion
1956,6714,PhosphoSP|instruct|innatedb|APID|biogrid|KinomeNetX|HINT-binary|intact|mint|litbm17|inweb|HINT-complex
3024,5580,HINT-binary|inweb|HIPPIE
3662,84058,signalink
120939,149111,intact|hiunion
8335,8607,CoFrac
1017,5111,qubic|HINT-binary|inweb|bioplex|HINT-complex
2623,7525,signalink
1053,3574,instruct|APID|biogrid|intact|pina
353132,388677,instruct|hiunion|APID|biogrid|HINT-binary|intact
1460,85457,APID|biogrid
23013,54039,CoFrac
2623,9712,encode|signalink
5499,55718,bioplex|HIPPIE
7375,27339,inweb
7107,79699,bioplex|HIPPIE
3303,5830,HIPPIE
5111,5501,APID|intact|litbm17
6613,10055,qubic|inweb|HIPPIE
10025,81857,inweb|HIPPIE
54915,100130613,intact|hiunion
5573,6195,KinomeNetX
4088,5515,signalink
