geneid,disease_name,diseaseid,score,evidence_level
4869,acute myeloid leukemia,C0023467,1.0,
7490,acute myeloid leukemia,C0023467,1.0,
1788,acute myeloid leukemia,C0023467,1.0,
3717,acute myeloid leukemia,C0023467,1.0,
472,chronic lymphocytic leukemia,C0023434,1.0,
4297,acute myeloid leukemia,C0023467,1.0,
861,acute myeloid leukemia,C0023467,1.0,
596,chronic lymphocytic leukemia,C0023434,1.0,
4893,acute myeloid leukemia,C0023467,1.0,
54790,acute myeloid leukemia,C0023467,1.0,
2624,acute myeloid leukemia,C0023467,1.0,
596,"lymphoma, non hodgkin's",C0024305,1.0,
596,acute myeloid leukemia,C0023467,1.0,
3845,acute myeloid leukemia,C0023467,1.0,
7157,acute myeloid leukemia,C0023467,1.0,
1437,acute myeloid leukemia,C0023467,1.0,
3417,acute myeloid leukemia,C0023467,1.0,
7157,chronic lymphocytic leukemia,C0023434,1.0,
2322,acute myeloid leukemia,C0023467,1.0,
3418,acute myeloid leukemia,C0023467,1.0,
3815,acute myeloid leukemia,C0023467,1.0,
1050,acute myeloid leukemia,C0023467,1.0,
171023,acute myeloid leukemia,C0023467,1.0,
1440,acute myeloid leukemia,C0023467,1.0,
945,acute myeloid leukemia,C0023467,0.95,
324,malignant neoplasm of colon,C0007102,0.95,
921,chronic lymphocytic leukemia,C0023434,0.95,
5781,acute myeloid leukemia,C0023467,0.95,
2120,acute myeloid leukemia,C0023467,0.95,
3662,chronic lymphocytic leukemia,C0023434,0.9,
8301,acute myeloid leukemia,C0023467,0.9,
8028,acute myeloid leukemia,C0023467,0.9,
2672,acute myeloid leukemia,C0023467,0.9,
6688,acute myeloid leukemia,C0023467,0.9,
5336,chronic lymphocytic leukemia,C0023434,0.9,
6427,acute myeloid leukemia,C0023467,0.9,
942,chronic lymphocytic leukemia,C0023434,0.9,
2944,acute myeloid leukemia,C0023467,0.9,
4292,malignant neoplasm of colon,C0007102,0.9,
7157,malignant squamous cell neoplasm of oral cavity (diagnosis),C0585362,0.9,
25,acute myeloid leukemia,C0023467,0.9,
2146,acute myeloid leukemia,C0023467,0.9,
3569,chronic lymphocytic leukemia,C0023434,0.9,
7157,"lymphoma, non hodgkin's",C0024305,0.9,
595,"lymphoma, non hodgkin's",C0024305,0.9,
207,malignant neoplasm of colon,C0007102,0.9,
2122,acute myeloid leukemia,C0023467,0.9,
4609,acute myeloid leukemia,C0023467,0.85,
1441,acute myeloid leukemia,C0023467,0.85,
1029,acute myeloid leukemia,C0023467,0.85,
7015,acute myeloid leukemia,C0023467,0.85,
7048,malignant neoplasm of colon,C0007102,0.85,
8021,acute myeloid leukemia,C0023467,0.85,
673,malignant neoplasm of colon,C0007102,0.85,
2475,glioblastoma multiforme,C1621958,0.85,
4436,malignant neoplasm of colon,C0007102,0.85,
5468,malignant neoplasm of colon,C0007102,0.85,
862,acute myeloid leukemia,C0023467,0.85,
4609,"lymphoma, non hodgkin's",C0024305,0.85,
604,"lymphoma, non hodgkin's",C0024305,0.85,
7852,acute myeloid leukemia,C0023467,0.85,
2950,acute myeloid leukemia,C0023467,0.85,
1021,acute myeloid leukemia,C0023467,0.85,
2078,acute myeloid leukemia,C0023467,0.85,
4615,chronic lymphocytic leukemia,C0023434,0.85,
974,chronic lymphocytic leukemia,C0023434,0.85,
1728,acute myeloid leukemia,C0023467,0.85,
3676,chronic lymphocytic leukemia,C0023434,0.85,
7010,acute myeloid leukemia,C0023467,0.85,
79870,acute myeloid leukemia,C0023467,0.85,
